household_id,settlement_id,settlement_name,ward_code,lga_code,head_of_household_initials,structure_number,children_under5_last_round,last_visit_date,consent_to_follow_up,gps_longitude,gps_latitude
BAN-000001,S01139,Yeluwa-Tudun,W015,LGA01,S. Sule,167,2,2025-10-17,yes,7.713123,11.272077
BAN-000002,S02142,Balawo-Kofar,W033,LGA03,A. Gani,31,1,2025-11-04,yes,7.986222,11.177865
BAN-000003,S02142,Balawo-Kofar,W033,LGA03,S. Jibo,68,3,2025-12-01,yes,7.986657,11.177671
BAN-000004,S02142,Balawo-Kofar,W033,LGA03,Z. Pama,42,0,2025-10-25,yes,7.985362,11.178429
BAN-000005,S02142,Balawo-Kofar,W033,LGA03,H. Jibo,234,4,2025-10-05,yes,7.985413,11.177094
BAN-000006,S00353,Sushadu-Yamma,W004,LGA02,M. Jibo,76,2,2025-11-03,yes,7.17898,10.686658
BAN-000007,S00958,Fatima-Kudu,W013,LGA02,S. Lami,69,2,2025-10-15,no,7.482555,10.560044
BAN-000008,S00958,Fatima-Kudu,W013,LGA02,M. Gani,105,3,2025-11-23,yes,7.483753,10.560363
BAN-000009,S01721,Longota,W026,LGA03,K. Nura,29,2,2025-11-09,yes,7.73699,11.53402
BAN-000010,S01721,Longota,W026,LGA03,A. Funo,38,1,2025-10-21,yes,7.737322,11.531143
BAN-000011,S01721,Longota,W026,LGA03,Y. Musa,35,1,2025-11-25,yes,7.738889,11.532088
BAN-000012,S01721,Longota,W026,LGA03,M. Oje,207,1,2025-10-01,yes,7.739056,11.530765
BAN-000013,S01721,Longota,W026,LGA03,S. Wada,53,3,2025-10-08,yes,7.738307,11.531259
BAN-000014,S01960,Taladu,W030,LGA04,F. Ede,126,1,2025-11-16,no,8.01397,10.544217
BAN-000015,S00403,Ekngofa,W005,LGA02,H. Bala,108,2,2025-11-28,yes,7.344127,10.734577
BAN-000016,S00337,Agrale,W004,LGA02,F. Sule,62,1,2025-10-03,yes,7.223706,10.631861
BAN-000017,S00337,Agrale,W004,LGA02,B. Ede,150,1,2025-10-31,yes,7.225619,10.635118
